track_a,track_b,class_a,class_b,t,ttc_s,d_cpa,min_distance,closing_speed,approach_speed,interaction_type,involves_vulnerable,unit,x,y,frames_triggered,conflict_grade,severity
899,915,car,lgv,16.55,1.93,1.97,8.69,15.4,15.8,crossing,False,m,-24.8,-13.2,24,close_interaction,low
271,1882,car,motorcycle,41.94,1.95,1.47,7.28,12.9,13.2,crossing/vulnerable-road-user,True,m,-39.3,-18.6,26,close_interaction,low
1324,1347,motorcycle,motorcycle,27.69,2.0,0.09,5.55,10.0,10.0,merging/vulnerable-road-user,True,m,-72.8,-9.6,78,close_interaction,low
2,37,car,motorcycle,15.05,2.01,1.41,5.63,9.4,9.8,following/vulnerable-road-user,True,m,-103.7,5.0,12,close_interaction,low
39,1199,car,motorcycle,30.8,2.02,1.42,15.18,26.9,27.0,merging/vulnerable-road-user,True,m,-22.3,-47.1,34,close_interaction,low
1734,1906,car,car,42.08,2.03,0.24,4.28,7.6,7.6,following,False,m,-18.6,-26.8,178,close_interaction,low
9,1827,car,car,40.94,2.03,2.04,9.59,16.2,16.6,merging,False,m,-56.2,-2.3,8,close_interaction,low
1467,1963,car,pedestrian,41.81,2.03,0.2,13.48,23.9,23.9,crossing/vulnerable-road-user,True,m,-68.9,-9.5,32,close_interaction,low
52,356,car,motorcycle,4.37,2.04,1.37,9.61,16.7,16.8,crossing/vulnerable-road-user,True,m,-89.4,-2.3,22,close_interaction,low
1293,1810,car,car,44.34,2.06,0.56,5.66,9.8,9.8,crossing,False,m,-38.8,-13.4,26,close_interaction,low
1864,1983,car,lgv,40.77,2.07,1.85,5.21,7.9,8.5,following,False,m,-6.5,-29.7,56,close_interaction,low
9,1952,car,car,51.85,2.07,2.0,5.86,9.0,9.6,following,False,m,-54.2,-2.7,15,close_interaction,low
3,325,car,motorcycle,3.77,2.07,0.44,10.31,17.9,17.9,crossing/vulnerable-road-user,True,m,-31.5,-12.2,13,close_interaction,low
1906,2084,car,pedestrian,40.87,2.09,1.23,10.76,18.3,18.4,crossing/vulnerable-road-user,True,m,-16.4,-27.8,13,close_interaction,low
564,1095,car,lgv,21.42,2.1,2.17,24.81,42.2,42.4,head-on,False,m,-20.3,-22.2,15,close_interaction,low
133,134,lgv,car,12.91,2.13,2.17,8.79,14.0,14.4,head-on,False,m,13.3,-31.5,6,close_interaction,low
1985,2120,car,car,47.85,2.17,1.79,5.19,7.6,8.1,following,False,m,-48.0,-7.8,18,close_interaction,low
14,325,car,motorcycle,8.94,2.17,1.27,6.48,10.4,10.6,merging/vulnerable-road-user,True,m,-32.4,-20.0,65,close_interaction,low
22,37,car,motorcycle,14.01,2.18,0.38,11.97,19.8,19.8,following/vulnerable-road-user,True,m,-90.0,-1.1,6,close_interaction,low
915,1111,lgv,lgv,27.76,2.19,2.09,7.11,10.7,11.2,merging,False,m,-30.8,-18.1,27,close_interaction,low
1734,2907,car,lgv,58.49,2.19,1.99,10.18,16.1,16.4,crossing,False,m,-89.0,-1.9,16,close_interaction,low
585,773,motorcycle,pedestrian,12.01,2.2,0.01,4.59,7.5,7.5,following/vulnerable-road-user,True,m,-37.2,-18.2,23,close_interaction,low
1734,2601,car,motorcycle,52.05,2.2,1.47,18.04,29.4,29.5,head-on/vulnerable-road-user,True,m,-64.9,-10.9,25,close_interaction,low
271,2362,car,motorcycle,50.28,2.21,1.36,4.73,7.1,7.4,following/vulnerable-road-user,True,m,-55.2,-12.8,116,close_interaction,low
1,189,car,motorcycle,5.17,2.21,0.34,6.97,11.3,11.3,following/vulnerable-road-user,True,m,-68.6,-7.0,6,close_interaction,low
20,113,car,car,3.77,2.21,1.16,11.11,17.9,18.0,crossing,False,m,-19.2,-16.7,9,close_interaction,low
480,585,car,motorcycle,18.15,2.22,1.0,8.88,14.2,14.3,following/vulnerable-road-user,True,m,-62.7,-9.3,13,close_interaction,low
631,1690,car,lgv,31.0,2.22,0.62,13.43,21.7,21.7,following,False,m,-87.5,-2.8,10,close_interaction,low
1734,2033,car,motorcycle,45.51,2.24,0.03,4.55,7.3,7.3,merging/vulnerable-road-user,True,m,-32.9,-20.2,46,close_interaction,low
1903,1906,motorcycle,car,44.44,2.26,1.46,8.92,13.9,14.0,merging/vulnerable-road-user,True,m,-29.8,-20.2,47,close_interaction,low
1654,1935,car,car,38.34,2.27,1.69,7.33,11.0,11.3,crossing,False,m,-28.8,-13.9,36,close_interaction,low
23,433,car,car,5.71,2.27,0.48,11.32,17.9,18.0,merging,False,m,-88.5,-2.7,8,close_interaction,low
1906,2362,car,motorcycle,45.78,2.28,1.49,5.42,7.9,8.2,following/vulnerable-road-user,True,m,-34.8,-19.3,76,close_interaction,low
24,306,motorcycle,car,5.54,2.29,1.3,12.36,19.2,19.3,following/vulnerable-road-user,True,m,-28.9,-21.6,48,close_interaction,low
87,177,car,car,6.81,2.31,0.19,4.49,7.0,7.0,following,False,m,-12.6,-30.1,8,close_interaction,low
2074,2082,car,car,50.38,2.31,1.94,16.61,25.5,25.7,head-on,False,m,-48.6,-10.4,11,close_interaction,low
6,188,lgv,car,7.54,2.32,1.47,6.75,10.0,10.2,crossing,False,m,-13.0,-26.9,16,close_interaction,low
631,1324,car,motorcycle,27.59,2.33,1.45,13.14,20.0,20.1,merging/vulnerable-road-user,True,m,-69.0,-10.3,36,close_interaction,low
30,34,pedestrian,motorcycle,1.94,2.35,0.07,8.05,12.4,12.4,crossing/vulnerable-road-user,True,m,-39.1,-20.3,10,close_interaction,low
1189,1885,lgv,car,43.38,2.36,2.02,14.03,21.0,21.2,crossing,False,m,13.0,-35.2,5,close_interaction,low
25,177,motorcycle,car,5.61,2.37,1.45,15.27,23.0,23.1,crossing/vulnerable-road-user,True,m,-11.9,-30.2,38,close_interaction,low
14,427,car,motorcycle,4.57,2.38,0.22,18.7,28.2,28.3,crossing/vulnerable-road-user,True,m,-22.5,-27.4,12,close_interaction,low
1154,1202,car,hgv,21.86,2.39,0.94,6.81,10.1,10.2,following,False,m,-21.9,11.7,6,close_interaction,low
1734,2286,car,pedestrian,44.74,2.39,1.3,11.87,17.7,17.8,head-on/vulnerable-road-user,True,m,-35.3,-22.0,7,close_interaction,low
2749,2792,car,motorcycle,58.06,2.41,0.72,6.77,10.0,10.1,following/vulnerable-road-user,True,m,-73.1,-5.6,6,close_interaction,low
1827,2296,car,car,48.05,2.41,1.97,14.85,21.8,22.0,crossing,False,m,-28.9,-15.6,24,close_interaction,low
6,25,lgv,motorcycle,3.14,2.46,1.42,8.86,12.6,12.8,crossing/vulnerable-road-user,True,m,-15.2,-26.0,82,close_interaction,low
1864,2084,car,pedestrian,41.64,2.49,0.36,9.59,13.9,13.9,crossing/vulnerable-road-user,True,m,-16.0,-25.8,42,close_interaction,low
774,880,car,car,16.22,2.49,2.06,17.78,25.3,25.5,head-on,False,m,-14.9,-27.5,13,close_interaction,low
901,1094,motorcycle,car,18.48,2.5,1.44,7.02,9.7,9.9,merging/vulnerable-road-user,True,m,-19.8,-19.1,32,close_interaction,low
1896,1903,car,motorcycle,41.27,2.53,1.31,16.3,23.1,23.1,crossing/vulnerable-road-user,True,m,-23.1,-20.0,11,close_interaction,low
329,474,car,pedestrian,8.34,2.54,1.28,14.46,20.3,20.4,crossing/vulnerable-road-user,True,m,-16.5,-29.4,36,close_interaction,low
37,722,motorcycle,car,11.14,2.59,0.89,13.69,18.9,18.9,crossing/vulnerable-road-user,True,m,-87.4,-2.5,28,close_interaction,low
578,1086,car,motorcycle,19.59,2.6,1.41,14.43,19.8,19.9,following/vulnerable-road-user,True,m,-38.2,-21.4,13,close_interaction,low
22,91,car,pedestrian,1.33,2.62,1.21,19.17,26.2,26.2,following/vulnerable-road-user,True,m,-18.6,-28.6,24,close_interaction,low
1654,1903,car,motorcycle,35.8,2.7,1.49,15.35,20.2,20.3,crossing/vulnerable-road-user,True,m,-34.2,-10.0,8,close_interaction,low
325,365,motorcycle,car,4.91,2.73,1.16,13.0,17.0,17.1,crossing/vulnerable-road-user,True,m,-33.8,-11.6,11,close_interaction,low
631,1347,car,motorcycle,27.33,2.74,1.43,8.0,10.2,10.3,following/vulnerable-road-user,True,m,-65.1,-11.5,11,close_interaction,low
271,2608,car,motorcycle,51.88,2.77,0.03,12.17,15.8,15.8,crossing/vulnerable-road-user,True,m,-69.1,-9.4,13,close_interaction,low
1983,2058,lgv,pedestrian,41.54,2.77,1.05,15.82,20.5,20.5,crossing/vulnerable-road-user,True,m,-16.1,-28.9,28,close_interaction,low
325,657,motorcycle,pedestrian,16.15,2.86,0.7,12.94,16.2,16.3,crossing/vulnerable-road-user,True,m,-66.6,-10.5,51,close_interaction,low
2768,2806,pedestrian,car,57.32,2.86,1.32,18.16,22.7,22.8,crossing/vulnerable-road-user,True,m,-68.9,2.0,18,close_interaction,low
1467,1793,car,motorcycle,41.81,3.06,1.38,12.91,15.0,15.1,following/vulnerable-road-user,True,m,-68.6,-9.5,41,close_interaction,low
1734,2680,car,motorcycle,54.05,3.06,0.68,14.91,17.5,17.5,crossing/vulnerable-road-user,True,m,-71.9,-8.6,28,close_interaction,low
87,474,car,pedestrian,6.37,3.08,1.14,10.27,11.9,11.9,crossing/vulnerable-road-user,True,m,-18.6,-28.4,8,close_interaction,low
97,1199,car,motorcycle,29.4,3.11,1.43,13.23,15.2,15.3,head-on/vulnerable-road-user,True,m,-19.7,-38.9,32,close_interaction,low
24,28,motorcycle,car,4.44,3.16,1.31,20.01,22.7,22.7,following/vulnerable-road-user,True,m,-26.6,-22.8,36,close_interaction,low
349,1199,car,motorcycle,30.5,3.16,1.34,21.68,24.6,24.6,head-on/vulnerable-road-user,True,m,-22.5,-48.1,9,close_interaction,low
693,2341,car,motorcycle,45.21,3.18,0.32,13.9,15.7,15.7,merging/vulnerable-road-user,True,m,-74.2,-5.5,7,close_interaction,low
279,474,car,pedestrian,6.57,3.19,0.26,20.16,22.8,22.8,crossing/vulnerable-road-user,True,m,-14.0,-30.3,16,close_interaction,low
48,1199,car,motorcycle,29.0,3.2,1.47,13.28,14.8,14.9,crossing/vulnerable-road-user,True,m,-19.2,-37.3,34,close_interaction,low
10,2250,car,motorcycle,48.22,3.23,1.47,13.03,14.4,14.4,merging/vulnerable-road-user,True,m,-25.2,13.2,6,close_interaction,low
24,895,motorcycle,car,14.25,3.32,1.49,21.54,23.2,23.3,head-on/vulnerable-road-user,True,m,-83.4,-4.3,16,close_interaction,low
279,585,car,motorcycle,7.21,3.36,1.12,9.09,9.6,9.7,following/vulnerable-road-user,True,m,-12.0,-30.0,34,close_interaction,low
22,34,car,motorcycle,5.57,3.36,1.42,11.28,11.9,12.0,following/vulnerable-road-user,True,m,-38.4,-21.1,8,close_interaction,low
2060,2117,pedestrian,hgv,42.14,3.41,1.73,23.24,24.4,24.5,crossing/vulnerable-road-user,True,m,-28.9,0.2,7,close_interaction,low
1864,2058,car,pedestrian,40.14,3.48,0.7,19.54,20.2,20.2,crossing/vulnerable-road-user,True,m,-16.1,-29.6,11,close_interaction,low
2296,2676,car,pedestrian,52.22,3.52,0.15,15.47,15.8,15.8,head-on/vulnerable-road-user,True,m,-26.7,0.0,9,close_interaction,low
1896,2033,car,motorcycle,41.81,3.54,1.11,13.64,13.8,13.8,crossing/vulnerable-road-user,True,m,-23.4,-19.4,21,close_interaction,low
25,46,motorcycle,pedestrian,11.01,3.56,0.7,21.37,21.6,21.6,head-on/vulnerable-road-user,True,m,-25.6,-55.3,9,close_interaction,low
38,433,motorcycle,car,5.71,3.58,0.98,20.38,20.4,20.4,merging/vulnerable-road-user,True,m,-84.2,-3.9,22,close_interaction,low
91,480,pedestrian,car,9.31,3.61,1.3,23.85,23.7,23.8,crossing/vulnerable-road-user,True,m,-16.4,-29.4,6,close_interaction,low
279,654,car,pedestrian,9.21,3.63,0.01,17.85,17.7,17.7,merging/vulnerable-road-user,True,m,-23.7,-20.1,18,close_interaction,low
2084,2199,pedestrian,car,41.64,3.69,0.22,13.11,12.8,12.8,crossing/vulnerable-road-user,True,m,-21.0,-18.3,6,close_interaction,low
232,386,car,pedestrian,5.81,3.77,1.22,16.92,16.1,16.1,head-on/vulnerable-road-user,True,m,-6.8,-29.0,13,close_interaction,low
1392,1767,car,pedestrian,32.16,3.8,1.21,14.37,13.5,13.6,merging/vulnerable-road-user,True,m,-32.1,-18.9,13,close_interaction,low
1734,1903,car,motorcycle,44.01,3.83,1.49,8.9,8.1,8.3,merging/vulnerable-road-user,True,m,-29.7,-20.5,62,close_interaction,low
606,773,motorcycle,pedestrian,10.81,3.87,0.18,12.25,11.4,11.4,head-on/vulnerable-road-user,True,m,-39.9,-17.6,9,close_interaction,low
1810,2033,car,motorcycle,42.21,3.88,1.22,21.53,19.9,20.0,crossing/vulnerable-road-user,True,m,-38.5,-12.1,12,close_interaction,low
14,91,car,pedestrian,4.0,3.9,1.31,17.5,16.1,16.1,head-on/vulnerable-road-user,True,m,-19.6,-28.9,9,close_interaction,low
1392,1712,car,pedestrian,32.77,3.93,1.31,12.24,11.1,11.2,following/vulnerable-road-user,True,m,-34.3,-21.0,35,close_interaction,low
325,585,motorcycle,motorcycle,12.51,4.11,0.12,7.85,6.9,6.9,following/vulnerable-road-user,True,m,-42.0,-17.7,55,close_interaction,low
1810,2212,car,motorcycle,42.21,4.17,0.18,21.59,18.7,18.7,crossing/vulnerable-road-user,True,m,-38.5,-12.0,10,close_interaction,low
2305,2534,car,pedestrian,50.42,4.3,1.27,23.79,19.8,19.9,following/vulnerable-road-user,True,m,-28.3,-21.1,21,close_interaction,low
2228,2515,car,motorcycle,59.53,4.5,0.76,7.77,6.2,6.2,following/vulnerable-road-user,True,m,-77.2,-4.0,16,close_interaction,low
913,1203,car,pedestrian,28.43,4.68,0.88,23.8,18.3,18.3,merging/vulnerable-road-user,True,m,-61.5,-12.1,8,close_interaction,low
474,578,pedestrian,car,11.85,4.79,1.31,22.23,16.7,16.7,crossing/vulnerable-road-user,True,m,-12.7,-30.2,9,close_interaction,low
631,1086,car,motorcycle,19.59,4.87,0.97,22.55,16.6,16.7,following/vulnerable-road-user,True,m,-34.4,-22.8,8,close_interaction,low
2121,2325,motorcycle,motorcycle,47.45,4.95,0.25,23.34,17.0,17.0,following/vulnerable-road-user,True,m,-75.7,-5.5,9,close_interaction,low
1095,1109,lgv,hgv,18.25,,0.0,0.0,7.3,7.6,following,False,m,16.4,-40.4,16,proximity,low
1416,1557,car,lgv,27.89,,0.01,0.01,-0.8,1.6,following,False,m,-17.3,-18.6,19,proximity,low
1467,1954,car,car,36.44,,0.01,0.01,0.1,0.5,following,False,m,-38.3,-18.8,18,proximity,low
269,356,car,motorcycle,3.7,,0.03,0.03,4.0,4.5,following/vulnerable-road-user,True,m,-82.0,-4.4,15,proximity,low
2515,2915,motorcycle,motorcycle,58.16,,0.11,0.11,1.0,2.1,following/vulnerable-road-user,True,m,-75.7,-4.4,19,proximity,low
2121,2341,motorcycle,motorcycle,48.25,,0.96,0.96,0.4,0.4,following/vulnerable-road-user,True,m,-88.9,-1.7,10,proximity,low
113,134,car,car,9.01,,1.15,1.15,0.4,0.5,following,False,m,-5.9,-25.0,262,proximity,low
134,186,car,car,3.04,,1.17,1.17,0.2,4.3,following,False,m,-32.9,-13.4,271,proximity,low
585,1001,motorcycle,car,15.82,,1.31,1.31,-2.5,3.0,following/vulnerable-road-user,True,m,-54.5,-12.7,35,proximity,low
34,40,motorcycle,motorcycle,0.07,,1.37,1.37,-1.1,2.1,following/vulnerable-road-user,True,m,-28.8,-23.2,64,proximity,low
1287,2130,car,car,45.78,,1.5,1.5,0.1,5.8,following,False,m,-3.1,-26.0,143,proximity,low
2074,2120,car,car,40.07,,1.51,1.51,-2.9,4.4,following,False,m,-104.6,11.9,60,proximity,low
515,578,car,car,13.21,,1.53,1.53,1.8,2.0,following,False,m,-8.1,-31.9,96,proximity,low
2601,2792,motorcycle,motorcycle,55.05,,1.54,1.54,-1.4,29.2,head-on/vulnerable-road-user,True,m,-62.6,-12.1,12,proximity,low
17,269,car,car,2.27,,1.61,1.61,-0.3,5.3,following,False,m,-75.0,-5.7,75,proximity,low
2305,2320,car,car,44.08,,1.63,1.63,-1.5,2.9,following,False,m,22.0,-44.1,141,proximity,low
2560,2796,car,motorcycle,59.43,,1.64,1.64,-0.4,5.2,following/vulnerable-road-user,True,m,-43.4,-16.7,70,proximity,low
2033,2362,motorcycle,motorcycle,48.08,,1.66,1.66,0.4,0.4,following/vulnerable-road-user,True,m,-42.7,-16.2,47,proximity,low
578,1347,car,motorcycle,23.72,,1.69,1.69,-1.3,5.8,following/vulnerable-road-user,True,m,-54.5,-14.7,15,proximity,low
1025,2595,lgv,car,59.96,,1.69,1.69,0.5,0.9,following,False,m,4.4,-29.2,120,proximity,low
125,189,car,motorcycle,3.4,,1.71,1.71,1.0,8.5,following/vulnerable-road-user,True,m,-55.5,-11.3,87,proximity,low
2228,2749,car,car,55.45,,1.74,1.74,1.5,2.4,following,False,m,-54.5,-12.2,87,proximity,low
271,2601,car,motorcycle,53.39,,1.9,1.9,-1.8,28.1,head-on/vulnerable-road-user,True,m,-68.7,-9.5,10,proximity,low
1467,2288,car,motorcycle,43.61,,1.93,1.93,-4.5,6.2,following/vulnerable-road-user,True,m,-71.2,-7.0,17,proximity,low
17,356,car,motorcycle,3.6,,1.95,1.95,-4.3,6.6,following/vulnerable-road-user,True,m,-82.1,-3.6,18,proximity,low
2082,2915,car,motorcycle,58.99,,1.96,1.96,-1.9,4.2,following/vulnerable-road-user,True,m,-80.6,-1.5,29,proximity,low
1095,1100,lgv,car,17.62,,2.06,2.06,-2.3,5.8,following,False,m,22.7,-42.6,18,proximity,low
1896,1906,car,car,34.67,,2.06,2.06,-0.3,4.2,following,False,m,22.7,-43.3,100,proximity,low
232,279,car,car,5.87,,2.15,2.15,-0.2,8.2,following,False,m,0.1,-33.9,89,proximity,low
177,188,car,car,3.94,,2.17,2.17,0.1,1.1,following,False,m,4.6,-36.4,191,proximity,low
8,125,car,car,13.81,,2.18,2.18,0.8,3.8,following,False,m,-105.6,5.9,127,proximity,low
439,1111,lgv,lgv,18.15,,2.18,2.18,3.3,34.6,head-on,False,m,22.3,-40.1,5,proximity,low
585,1091,motorcycle,motorcycle,18.05,,2.2,2.2,-0.2,4.7,following/vulnerable-road-user,True,m,-66.3,-9.7,27,proximity,low
3,113,car,car,13.91,,2.22,2.22,-0.2,12.2,following,False,m,14.0,-33.2,60,proximity,low
113,186,car,car,9.01,,2.24,2.24,0.2,5.5,following,False,m,-6.0,-25.7,100,proximity,low
2082,2515,car,motorcycle,58.59,,2.24,2.24,-3.0,5.6,following/vulnerable-road-user,True,m,-78.7,-2.3,47,proximity,low
1827,2516,car,car,59.66,,2.28,2.28,0.2,0.2,following,False,m,-4.9,-24.8,83,proximity,low
1810,1827,car,car,32.63,,2.3,2.3,-2.5,3.1,following,False,m,-104.1,11.4,30,proximity,low
1,38,car,motorcycle,10.81,,2.32,2.32,0.7,5.4,following/vulnerable-road-user,True,m,-103.4,5.2,196,proximity,low
23,218,car,motorcycle,2.87,,2.36,2.36,-1.6,1.8,following/vulnerable-road-user,True,m,-68.3,-7.8,45,proximity,low
2296,2946,car,lgv,59.09,,2.36,2.36,-0.7,27.5,head-on,False,m,-22.4,20.1,15,proximity,low
2,40,car,motorcycle,11.21,,2.38,2.38,0.1,1.5,following/vulnerable-road-user,True,m,-85.1,-1.9,131,proximity,low
1654,1896,car,car,44.28,,2.4,2.4,0.1,24.7,crossing,False,m,-24.5,-19.0,20,proximity,low
13,22,car,car,16.08,,2.42,2.42,0.5,0.5,following,False,m,-98.4,3.2,30,proximity,low
177,1091,car,motorcycle,20.09,,2.45,2.45,0.0,5.6,following/vulnerable-road-user,True,m,-74.4,-6.0,23,proximity,low
1262,1392,car,car,25.56,,2.45,2.45,5.4,63.5,head-on,False,m,15.0,-37.1,10,proximity,low
1896,1957,car,car,49.08,,2.45,2.45,0.3,28.0,head-on,False,m,-36.9,-10.3,12,proximity,low
1957,1985,car,car,44.34,,2.48,2.48,-0.3,0.3,following,False,m,-58.3,-4.7,140,proximity,low
5,171,car,car,1.07,,2.49,2.49,-0.6,0.8,following,False,m,-94.1,2.8,31,proximity,low
774,1392,car,car,25.02,,2.5,2.5,0.5,59.3,head-on,False,m,20.0,-39.2,9,proximity,low
1100,1262,car,car,22.49,,2.57,2.57,-5.3,37.4,head-on,False,m,-4.5,-29.2,7,proximity,low
24,627,motorcycle,car,12.65,,2.65,2.65,0.6,4.8,following/vulnerable-road-user,True,m,-63.1,-9.5,36,proximity,low
325,1001,motorcycle,car,17.08,,2.65,2.65,-2.5,14.1,following/vulnerable-road-user,True,m,-63.4,-9.6,20,proximity,low
1864,1906,car,car,39.67,,2.67,2.67,0.0,4.4,following,False,m,-5.1,-31.0,104,proximity,low
774,1095,car,lgv,20.92,,2.68,2.68,1.4,51.0,head-on,False,m,-5.2,-28.8,12,proximity,low
1601,1654,car,car,29.0,,2.68,2.68,-4.0,11.8,following,False,m,-89.1,7.5,16,proximity,low
774,1100,car,car,21.82,,2.66,2.7,6.7,43.3,head-on,False,m,-0.1,-30.9,6,proximity,low
1734,2550,car,car,49.58,,2.73,2.73,0.6,2.3,following,False,m,-47.1,-15.8,44,proximity,low
232,329,car,car,7.94,,2.75,2.75,0.5,10.5,following,False,m,-7.1,-31.2,30,proximity,low
439,1100,lgv,car,18.09,,2.78,2.78,4.0,39.6,head-on,False,m,22.1,-40.2,10,proximity,low
913,1080,car,car,21.59,,2.78,2.78,1.1,9.6,following,False,m,-23.1,-24.9,55,proximity,low
2646,2653,car,car,51.69,,2.81,2.81,0.2,3.2,following,False,m,21.7,-42.6,63,proximity,low
934,1131,car,car,27.69,,2.83,2.83,0.3,13.0,following,False,m,-49.2,-14.3,42,proximity,low
80,271,hgv,car,4.44,,2.88,2.88,2.4,45.8,head-on,False,m,-93.4,5.3,16,proximity,low
1111,1810,lgv,car,37.94,,2.89,2.89,3.8,47.4,head-on,False,m,-70.9,-3.1,14,proximity,low
693,1622,car,car,38.77,,2.89,2.89,-1.0,10.9,following,False,m,-41.3,-17.3,44,proximity,low
1952,2074,car,car,46.95,,2.89,2.89,-1.4,7.9,following,False,m,-70.1,0.7,57,proximity,low
1095,1810,lgv,car,32.73,,2.92,2.92,-8.3,57.5,head-on,False,m,-103.4,8.7,6,proximity,low
6,22,lgv,car,0.0,,2.98,2.98,-1.9,8.5,following,False,m,0.2,-33.4,28,proximity,low
913,1131,car,car,26.83,,3.0,3.0,-0.5,13.7,following,False,m,-42.1,-17.2,35,proximity,low
1734,1802,car,car,34.13,,3.02,3.02,0.3,9.2,following,False,m,8.2,-36.6,53,proximity,low
1734,1983,car,lgv,55.19,,3.02,3.02,0.2,6.7,following,False,m,-68.9,-7.1,96,proximity,low
2885,2919,car,car,59.96,,3.02,3.02,2.4,3.0,following,False,m,8.9,-36.6,27,proximity,low
2,8,car,car,6.07,,3.04,3.04,0.1,0.5,following,False,m,-60.9,-9.5,133,proximity,low
1827,1957,car,car,57.22,,3.1,3.1,-2.4,2.6,following,False,m,-10.4,-22.7,37,proximity,low
5,271,car,car,2.94,,3.14,3.14,-0.2,53.6,head-on,False,m,-102.8,8.5,9,proximity,low
271,2550,car,car,54.15,,3.14,3.14,0.1,9.8,following,False,m,-70.8,-6.0,14,proximity,low
631,1080,car,car,25.86,,3.16,3.16,-1.6,9.8,following,False,m,-52.9,-13.4,20,proximity,low
1100,1109,car,hgv,17.95,,3.18,3.18,-4.6,5.8,following,False,m,20.5,-41.7,16,proximity,low
937,1094,lgv,car,23.92,,3.18,3.18,0.1,0.2,following,False,m,-2.4,-25.1,176,proximity,low
693,1810,car,car,41.94,,3.21,3.21,0.6,33.8,head-on,False,m,-50.9,-10.7,9,proximity,low
1619,1686,hgv,motorcycle,31.2,,3.25,3.25,0.3,32.7,head-on/vulnerable-road-user,True,m,-24.1,7.5,11,proximity,low
774,1080,car,car,19.99,,3.28,3.28,-3.2,55.6,head-on,False,m,-10.2,-27.1,7,proximity,low
631,1131,car,car,32.77,,3.28,3.28,-0.8,10.7,following,False,m,-93.4,1.5,32,proximity,low
1654,2199,car,car,47.81,,3.29,3.29,0.0,0.5,following,False,m,-5.1,-26.6,131,proximity,low
271,1983,car,lgv,58.86,,3.29,3.29,-0.6,8.3,following,False,m,-90.3,1.1,77,proximity,low
1109,1111,hgv,lgv,17.89,,3.3,3.3,-7.7,9.9,following,False,m,20.8,-41.6,5,proximity,low
125,271,car,car,7.97,,3.31,3.31,0.1,35.2,head-on,False,m,-75.0,-1.6,11,proximity,low
564,1111,car,lgv,25.02,,3.33,3.33,-1.1,40.1,head-on,False,m,-15.9,-23.6,12,proximity,low
774,869,car,lgv,21.79,,3.38,3.38,-0.2,6.8,following,False,m,0.7,-28.0,73,proximity,low
1131,1810,car,car,33.43,,3.4,3.4,-1.1,63.3,head-on,False,m,-98.7,6.8,6,proximity,low
1095,1293,lgv,car,29.7,,3.41,3.41,2.7,52.4,head-on,False,m,-74.6,-1.1,10,proximity,low
1189,1864,lgv,car,40.74,,3.42,3.42,-1.2,33.7,head-on,False,m,-7.7,-26.6,14,proximity,low
271,627,car,car,11.85,,3.43,3.43,0.1,32.1,head-on,False,m,-58.5,-7.9,11,proximity,low
1983,2862,lgv,lgv,59.33,,3.43,3.43,1.7,48.5,head-on,False,m,-92.6,5.4,12,proximity,low
23,41,car,car,0.1,,3.47,3.47,-0.6,0.8,following,False,m,-57.5,-12.0,25,proximity,low
2,271,car,car,8.64,,3.48,3.48,1.6,34.9,head-on,False,m,-71.9,-2.9,10,proximity,low
564,1392,car,car,27.53,,3.54,3.54,-0.8,51.4,head-on,False,m,-1.1,-29.8,6,proximity,low
2082,2481,car,car,54.52,,3.58,3.58,-2.3,40.7,head-on,False,m,-57.8,-7.0,6,proximity,low
2199,2646,car,car,52.29,,3.61,3.61,-0.3,38.3,head-on,False,m,20.3,-38.5,7,proximity,low
1111,1293,lgv,car,35.23,,3.63,3.63,-0.7,35.3,head-on,False,m,-53.5,-8.8,11,proximity,low
915,1467,lgv,car,37.1,,3.63,3.63,0.1,1.5,following,False,m,-41.3,-16.5,52,proximity,low
1025,2646,lgv,car,57.79,,3.65,3.65,0.6,26.9,head-on,False,m,-4.1,-28.4,15,proximity,low
2516,2646,car,car,59.09,,3.65,3.65,0.5,26.3,head-on,False,m,-8.5,-26.5,8,proximity,low
1095,1189,lgv,lgv,28.7,,3.66,3.66,-0.1,55.9,head-on,False,m,-65.0,-4.4,9,proximity,low
22,627,car,car,8.47,,3.7,3.7,-0.2,8.2,following,False,m,-46.7,-15.8,15,proximity,low
934,1095,car,lgv,25.26,,3.71,3.71,1.0,14.5,following,False,m,-37.9,-18.5,22,proximity,low
1111,2074,lgv,car,41.61,,3.78,3.78,1.1,49.5,head-on,False,m,-97.0,6.5,7,proximity,low
915,1954,lgv,car,36.44,,3.79,3.79,-0.2,0.4,following,False,m,-39.0,-17.1,13,proximity,low
1111,1985,lgv,car,40.14,,3.87,3.87,1.9,53.1,head-on,False,m,-85.7,2.5,5,proximity,low
631,1095,car,lgv,29.13,,4.01,4.01,-0.6,15.2,following,False,m,-70.2,-6.6,12,proximity,low
913,1095,car,lgv,24.82,,4.02,4.02,0.1,17.0,following,False,m,-34.3,-20.1,9,proximity,low
1935,2862,car,lgv,57.29,,4.02,4.02,-1.7,40.4,head-on,False,m,-104.8,9.3,5,proximity,low
